,open,high,low,close,volume,atr,ob_formed,ob_direction,entry_quality,qmp_fast,qmp_slow,qmp_macd,qmp_line,qmp_hist,qqe_rsi,qqe_rsi_ma,qqe_dar,qqe_momentum,signal_alignment
2026-05-05 10:30:00,80732.39,80831.87,80732.38,80822.42,127.89304,116.6878571428554,False,none,0.0,80706.8040960894,80839.63591511222,-132.8318190228165,-180.2549925102079,47.42317348739141,56.96523385661401,56.96523385661401,16.605623705675704,8.571004909473928,1.0
2026-05-05 10:45:00,80822.42,80829.24,80708.82,80823.61,128.48545,116.61071428571242,False,none,0.0,80734.64185168706,80844.11795468148,-109.47610299442022,-161.14173605421797,51.665633059797756,57.07292208225594,57.07292208225594,16.587571840220672,0.10768822564192959,1.0
2026-05-05 11:00:00,80823.61,80978.99,80780.0,80942.73,162.86722,120.6985714285703,False,none,0.0,80790.51168021114,80864.84185442368,-74.33017421253317,-134.19009223851316,59.859918025979994,66.62674198800968,66.62674198800968,16.625508383544464,9.553819905753741,1.0
2026-05-05 11:15:00,80942.73,80967.52,80818.72,80949.23,166.46274,116.78642857142717,False,none,0.0,80835.9621093861,80883.96392564612,-48.00181626001722,-105.06843461251712,57.0666183524999,67.0835973315755,67.0835973315755,16.590755584160544,0.45685534356582025,1.0
2026-05-05 11:30:00,80949.23,81095.48,80936.38,81039.01,146.92062,124.16571428571272,False,none,0.0,80896.68408271523,80913.52425323387,-16.84017051864066,-72.92971653088412,56.08954601224346,72.93263339910229,72.93263339910229,16.564732490556857,5.849036067526782,1.0
2026-05-05 11:45:00,81039.0,81055.79,80874.0,81014.05,147.41195,132.40714285714057,False,none,0.0,80936.43900840735,80935.99518290386,0.44382550349109806,-43.8951165501818,44.338942053672895,69.03502377790693,69.03502377790693,16.52041057956444,-3.8976096211953575,-1.0
2026-05-05 12:00:00,81014.05,81134.06,80932.54,81105.01,114.99913,136.3692857142835,False,none,0.0,80992.5743337039,80968.66512846232,23.90920524157991,-15.091878174673425,39.00108341625334,74.67230742448196,74.67230742448196,16.483541005367318,5.637283646575028,1.0
2026-05-05 12:15:00,81105.02,81245.73,81063.6,81222.9,139.39305,142.7557142857113,False,none,0.0,81068.91064746761,81014.24078752976,54.669859937843285,15.976073412956872,38.69378652488641,80.05160489420692,80.05160489420692,16.449887293639193,5.3792974697249605,1.0
2026-05-05 12:30:00,81222.91,81307.68,81173.2,81307.68,166.2973,141.8278571428538,False,none,0.0,81151.28988637611,81066.55429063956,84.73559573655075,48.230978777570414,36.504616958980336,83.01624536709528,83.01624536709528,16.386989100867254,2.9646404728883624,1.0
2026-05-05 12:45:00,81307.68,81329.61,81192.29,81279.41,187.13109,145.1635714285689,False,none,0.0,81205.94366366857,81108.69470529121,97.24895837735676,74.83911343997246,22.409844937384293,78.5665905471377,78.5665905471377,16.31869545453705,-4.449654819957587,-1.0
2026-05-05 13:00:00,81279.4,81666.0,81270.0,81622.0,586.2341,163.63857142856952,False,none,0.0,81344.11699146568,81194.63432166452,149.48266980116023,111.5688495339744,37.91382026718583,87.69850639105013,87.69850639105013,16.308435442965855,9.131915843912438,1.0
2026-05-05 13:15:00,81621.99,81712.32,81418.81,81460.27,353.78025,178.7292857142841,True,bear,0.6791922716286899,81403.68778849283,81247.58604038422,156.1017481086019,138.97530163550206,17.126446473099833,71.30725196652733,71.30725196652733,16.445565956577624,-16.3912544245228,-1.0
2026-05-05 13:30:00,81460.28,81538.44,81215.25,81414.1,412.66492,189.15999999999931,False,none,0.0,81434.5649203645,81287.56392795386,147.00099241064163,153.92421678813807,-6.923224377496439,67.20891099281911,67.20891099281911,16.546575012721867,-4.098340973708218,1.0
2026-05-05 13:45:00,81414.11,81671.5,81196.0,81330.0,418.73763,218.0171428571422,False,none,0.0,81432.30144861901,81310.53501714343,121.76643147558207,154.13015157410382,-32.36372009852175,60.026865937715186,60.026865937715186,16.656785391196806,-7.182045055103927,1.0
2026-05-05 14:00:00,81330.0,81434.46,81090.0,81104.08,307.17574,235.51500000000047,False,none,0.0,81364.09289314163,81298.10581367968,65.98707946194918,132.8868343082732,-66.89975484632402,45.19843252886621,45.19843252886621,16.876473164603198,-14.828433408848973,1.0
2026-05-05 14:15:00,81104.08,81456.0,80939.87,81409.03,507.20284,263.78000000000094,True,bull,0.8546702205497506,81395.71604825802,81329.88968827562,65.82635998239857,116.55726205165041,-50.73090206925184,60.319756951277554,60.319756951277554,17.194456736560007,15.121324422411341,-1.0
2026-05-05 14:30:00,81409.03,81500.0,81127.8,81244.87,255.76631,276.1521428571432,False,none,0.0,81372.04727651867,81334.15421896061,37.89305755805981,94.02111085187981,-56.12805329382,51.56606094212903,51.56606094212903,17.511751898312994,-8.753696009148527,1.0
2026-05-05 14:45:00,81244.88,81392.0,81128.0,81336.59,212.76884,284.3807142857144,False,none,0.0,81378.14153399479,81350.4053503766,27.736183618180803,73.69637733391737,-45.960193715736565,55.673611138629866,55.673611138629866,17.76508856673421,4.1075501965008385,-1.0
2026-05-05 15:00:00,81336.59,81664.97,81235.0,81564.86,270.90605,303.72857142857225,False,none,0.0,81446.35549268492,81396.82753931143,49.527953373486525,66.69517724570201,-17.167223872215487,64.2879924701569,64.2879924701569,18.021675422016013,8.614381331527028,-1.0
2026-05-05 15:15:00,81564.85,81670.0,81518.86,81609.99,256.30498,301.53928571428696,False,none,0.0,81510.817901151,81443.98737185879,66.83052929220139,67.7566475650929,-0.9261182728915145,65.79016945992373,65.79016945992373,18.185123773938315,1.5021769897668378,-1.0
2026-05-05 15:30:00,81610.0,81670.0,81547.88,81625.0,150.16982,295.86785714285776,False,none,0.0,81563.58192375331,81487.47152255106,76.11040120225516,71.73969772620678,4.3707034760483765,66.3285336641739,66.3285336641739,18.25386086645202,0.538364204250172,1.0
2026-05-05 15:45:00,81625.0,81689.2,81519.99,81525.19,221.65964,294.94500000000073,False,none,0.0,81574.46499499513,81511.26777507845,63.19721991667757,69.81493270555367,-6.617712788876105,59.243363709620716,59.243363709620716,18.327079173695992,-7.085169954553187,1.0
2026-05-05 16:00:00,81525.19,81615.33,81429.85,81449.23,135.44343,298.5878571428579,False,none,0.0,81559.51630647607,81520.90907374692,38.607232729147654,59.46597919326985,-20.8587464641222,54.20709538948567,54.20709538948567,18.376557013725005,-5.0362683201350436,1.0
2026-05-05 16:15:00,81449.24,81552.31,81334.98,81419.99,78.47484,304.30285714285753,False,none,0.0,81537.89822046003,81524.61021966298,13.288000797052518,42.89337559128907,-29.605374794236553,52.2529176763327,52.2529176763327,18.36403982604243,-1.9541777131529727,1.0
2026-05-05 16:30:00,81420.0,81420.0,81052.5,81075.79,350.00344,302.26714285714326,False,none,0.0,81421.86850868618,81478.10532983977,-56.236821153594065,6.073758392019137,-62.3105795456132,35.18737155968749,35.18737155968749,18.499058624878465,-17.06554611664521,1.0
2026-05-05 16:45:00,81075.8,81293.77,81050.04,81285.75,143.53096,298.71142857142905,False,none,0.0,81390.23638348276,81465.98053222818,-75.7441487454198,-27.005857730395412,-48.738291015024394,47.20728381703681,47.20728381703681,18.694722459185275,12.019912257349318,-1.0
2026-05-05 17:00:00,81285.75,81372.01,81185.02,81331.99,80.54684,288.98285714285674,False,none,0.0,81378.24873446768,81461.19320625263,-82.94447178495466,-52.71845998357424,-30.226011801380416,49.56165896641529,49.56165896641529,18.813471412576764,2.354375149378477,-1.0
2026-05-05 17:15:00,81331.99,81458.26,81310.82,81418.14,84.56838,265.5499999999988,False,none,0.0,81393.03961926828,81468.67017256301,-75.6305532947299,-67.75055524118301,-7.879998053546899,53.93581667563395,53.93581667563395,18.891621619598148,4.3741577092186645,-1.0
2026-05-05 17:30:00,81418.14,81418.14,81248.04,81304.22,60.94945,253.095714285713,False,none,0.0,81371.8676582257,81458.55124698517,-86.68358875946433,-81.66538889549888,-5.0181998639654495,47.68607759765893,47.68607759765893,18.95906622488934,-6.249739077975022,1.0
2026-05-05 17:45:00,81304.22,81356.67,81259.35,81270.6,54.74202,223.18071428571213,False,none,0.0,81345.55903148573,81444.23281972302,-98.67378823729814,-95.08808224083984,-3.5857059964583016,45.892516483218444,45.892516483218444,18.957469601580474,-1.793561114440486,1.0
